CONDITION,ONSET,DURATION,AMP
ratings,18.6135,4.999900000000004,1
ratings,38.84599999999999,5.016600000000011,1
ratings,58.8958,5.0172000000000025,1
ratings,79.4121,5.000600000000006,1
ratings,99.8295,5.000099999999975,1
ratings,120.4619,5.000399999999985,1
ratings,140.5284,5.016700000000014,1
ratings,160.6781,5.016800000000018,1
ratings,181.2947,5.016700000000014,1
ratings,205.7944,5.016799999999989,1
ratings,225.8944,5.016599999999983,1
ratings,246.9275,5.016599999999983,1
ratings,267.9243,5.003499999999974,1
ratings,290.8437,5.016799999999989,1
ratings,313.14410000000004,5.0166999999999575,1
ratings,339.4311,5.015900000000002,1
ratings,359.6137,5.000599999999992,1
ratings,379.7308,5.016000000000005,1
ratings,402.6972,5.016199999999998,1
ratings,422.7971,5.0,1
ratings,443.3302,4.999499999999983,1
ratings,464.3461,5.000100000000003,1
ratings,484.3964,4.99939999999998,1
ratings,504.8959,5.0,1
ratings,525.5129,5.01660000000004,1
ratings,547.846,4.999099999999999,1
ratings,572.3625,5.0,1
ratings,593.3998,5.012400000000014,1
ratings,614.0787,5.016199999999969,1
ratings,634.3453,4.999500000000012,1
ratings,660.2136,4.999400000000001,1
ratings,680.6294,4.999800000000008,1
ratings,700.7131,5.015900000000002,1
ratings,721.2292,5.017099999999999,1
ratings,745.7288,5.016700000000014,1
ratings,765.8791,5.021100000000004,1
ratings,786.512,5.016500000000008,1
ratings,806.5949,5.016799999999989,1
ratings,827.0781000000001,5.0,1
ratings,849.3613,5.016700000000014,1
ratings,870.3611000000001,5.016799999999989,1
ratings,890.9781,5.016100000000051,1
ratings,912.0116,5.015800000000013,1
ratings,932.2605000000001,5.016799999999989,1
ratings,955.1938,5.000499999999988,1
ratings,981.0135000000001,5.0167,1
ratings,1001.0973000000001,5.016599999999997,1
ratings,1021.1970000000001,5.016199999999998,1
ratings,1041.6801,5.016799999999989,1
ratings,1061.7302000000002,5.015900000000016,1
ratings,1081.9798,4.999300000000005,1
ratings,1102.6125000000002,5.016400000000004,1
ratings,1125.5459,5.016300000000001,1
ratings,1146.5785,4.999899999999997,1
ratings,1167.5619000000002,5.016600000000011,1
ratings,1188.0783000000001,5.016800000000046,1
ratings,1208.5114,5.016799999999989,1
ratings,1228.6612,5.016700000000014,1
ratings,1253.1611,5.016599999999983,1
ratings,1273.7775000000001,5.016799999999989,1
ratings,1301.8133,5.016399999999997,1
ratings,1322.3302,4.999600000000001,1
ratings,1342.9296,4.9998000000000005,1
ratings,1365.2125,5.017400000000009,1
ratings,1385.2623,5.016899999999993,1
ratings,1405.3628,5.016300000000001,1
ratings,1425.7955,5.0172000000000025,1
ratings,1446.2838000000002,4.995699999999999,1
ratings,1469.1957,5.016599999999983,1
ratings,1489.4450000000002,5.000499999999988,1
ratings,1510.4287,4.999900000000025,1
ratings,1531.4451000000001,5.015600000000006,1
ratings,1551.5282000000002,5.016199999999969,1
ratings,1571.6781,4.999899999999968,1
ratings,1596.1606000000002,5.016700000000014,1
stimNeu,66.4623,3.966700000000003,1
